"","classcode","common_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id"
"272","OYT","Olive Or Yellowtail Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides,flavidus","Sebastes serranoides/flavidus","WoRMS","274852/274795"
"276","PATR","Sharpnose Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","atripes","Phanerodon atripes","WoRMS","279409"
"280","PCAL","California Halibut","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","Paralichthys californicus","WoRMS","275809"
"284","PCLA","Kelp Bass, Calico Bass","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","clathratus","Paralabrax clathratus","WoRMS","282054"
"288","PCOE","C-O Turbot","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronichthys","coenosus","Pleuronichthys coenosus","WoRMS","282290"
"292","PFAL","Scythemarked Butterflyfish","Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae","Prognathodes","falcifer","Prognathodes falcifer","WoRMS","273374"
"296","PFUR","White Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Phanerodon","furcatus","Phanerodon furcatus","WoRMS","240730"
"300","PGLA","Blue Shark","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","glauca","Prionace glauca","WoRMS","105801"
"303","PHOL","Gunnels","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Pholidae","spp","Pholidae","WoRMS","125550"
"305","PLEU","Righteyed Flounders","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectidae","spp","Pleuronectidae","WoRMS","125579"
"308","PMAC","Spotted Sandbass","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","maculatofasciatus","Paralabrax maculatofasciatus","WoRMS","282058"
"312","PNEB","Barred Sandbass","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax","nebulifer","Paralabrax nebulifer","WoRMS","282059"
"316","PNOT","Plainfin Midshipman","Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys","notatus","Porichthys notatus","WoRMS","275658"
"319","PPRO","Shovelnose Guitarfish","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Pseudobatos","productus","Pseudobatos productus","WoRMS","1043469"
"322","PTRI","Thornback","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","triseriata","Platyrhinoidis triseriata","WoRMS","282280"
"325","RALL","Stripefin Ronquil","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","alleni","Rathbunella alleni","WoRMS","282555"
"329","RBIN","Big Skate","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","binoculata","Raja binoculata","WoRMS","271572"
"332","RFYOY","Rockfish Young Of The Year, Unidentified Sp.","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Sebastes","WoRMS","126175"
"335","RHYP","Smooth Ronquil","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Rathbunella","hypoplecta","Rathbunella hypoplecta","WoRMS","282556"
"339","RJOR","Northern Ronquil","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Ronquilus","jordani","Ronquilus jordani","WoRMS","282629"
"342","RNIC","Blackeye Goby","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","nicholsii","Rhinogobiops nicholsii","WoRMS","282580"
"346","RRIC","Grunt Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Rhamphocottidae","Rhamphocottus","richardsonii","Rhamphocottus richardsonii","WoRMS","282578"
